User_ID,Product_ID,Product_Category,Purchase,Age,Gender,Mood,Weather,Time_of_Day,Day_of_Week,Is_Weekend,Previous_Week_Spending
U1001,P101,Clothing,4502,46-50,M,Happy,Windy,Afternoon,Saturday,1,0.0
U1001,P104,Beauty,107,18-25,M,Sad,Cloudy,Evening,Monday,0,4502.0
U1001,P105,Books,2655,46-50,F,Neutral,Cloudy,Afternoon,Tuesday,0,4609.0
U1001,P102,Home,3439,46-50,M,Happy,Rainy,Night,Thursday,0,7264.0
U1001,P101,Clothing,4235,18-25,M,Happy,Sunny,Night,Tuesday,0,10703.0
U1001,P103,Home,3113,46-50,M,Bored,Rainy,Night,Sunday,1,14938.0
U1001,P101,Beauty,1881,36-45,M,Bored,Rainy,Afternoon,Wednesday,0,18051.0
U1001,P101,Clothing,674,18-25,F,Happy,Rainy,Night,Sunday,1,19932.0
U1001,P101,Home,3704,18-25,F,Sad,Sunny,Morning,Saturday,1,16104.0
U1001,P105,Beauty,769,18-25,M,Neutral,Windy,Evening,Sunday,1,19701.0
U1001,P105,Home,3657,26-35,F,Neutral,Cloudy,Evening,Tuesday,0,17815.0
U1001,P101,Beauty,3090,18-25,M,Neutral,Windy,Morning,Saturday,1,18033.0
U1001,P104,Home,2872,18-25,M,Bored,Cloudy,Afternoon,Sunday,1,16888.0
U1001,P102,Beauty,1254,26-35,M,Neutral,Windy,Morning,Tuesday,0,16647.0
U1001,P103,Home,1085,18-25,F,Anxious,Rainy,Night,Saturday,1,16020.0
U1001,P105,Electronics,289,46-50,F,Anxious,Sunny,Morning,Wednesday,0,16431.0
U1001,P101,Clothing,1798,36-45,M,Anxious,Cloudy,Morning,Tuesday,0,13016.0
U1001,P102,Books,995,36-45,M,Bored,Sunny,Night,Wednesday,0,14045.0
U1001,P103,Books,823,26-35,F,Bored,Sunny,Afternoon,Sunday,1,11383.0
U1001,P102,Beauty,954,36-45,F,Bored,Windy,Night,Thursday,0,9116.0
U1001,P104,Electronics,3908,18-25,F,Anxious,Sunny,Evening,Monday,0,7198.0
U1001,P103,Beauty,1566,18-25,M,Sad,Sunny,Afternoon,Friday,0,9852.0
U1001,P103,Clothing,1477,18-25,F,Bored,Sunny,Afternoon,Friday,0,10333.0
U1001,P105,Beauty,2759,26-35,F,Bored,Cloudy,Night,Sunday,1,11521.0
U1001,P103,Electronics,3718,46-50,M,Bored,Sunny,Morning,Monday,0,12482.0
U1001,P104,Books,380,36-45,M,Sad,Cloudy,Afternoon,Sunday,1,15205.0
U1001,P102,Home,523,46-50,F,Happy,Rainy,Morning,Saturday,1,14762.0
U1001,P105,Electronics,4465,46-50,F,Sad,Sunny,Evening,Sunday,1,14331.0
U1001,P101,Home,1850,36-45,M,Neutral,Stormy,Afternoon,Sunday,1,14888.0
U1001,P105,Home,4857,26-35,M,Sad,Cloudy,Night,Wednesday,0,15172.0
U1001,P101,Electronics,2067,18-25,F,Neutral,Sunny,Night,Sunday,1,18552.0
U1001,P102,Beauty,4278,36-45,M,Bored,Stormy,Morning,Tuesday,0,17860.0
U1001,P101,Home,1549,46-50,F,Neutral,Rainy,Evening,Saturday,1,18420.0
U1001,P101,Books,4982,18-25,M,Sad,Rainy,Afternoon,Monday,0,19589.0
U1001,P102,Clothing,1033,46-50,F,Neutral,Cloudy,Morning,Saturday,1,24048.0
U1001,P101,Beauty,2823,36-45,F,Neutral,Rainy,Afternoon,Friday,0,20616.0
U1001,P104,Electronics,2467,36-45,M,Sad,Stormy,Night,Wednesday,0,21589.0
U1001,P102,Beauty,3148,46-50,M,Happy,Rainy,Evening,Tuesday,0,19199.0
U1001,P103,Electronics,167,18-25,F,Anxious,Windy,Night,Friday,0,20280.0
U1001,P102,Clothing,1185,18-25,F,Anxious,Cloudy,Morning,Sunday,1,16169.0
U1001,P101,Electronics,1592,18-25,M,Bored,Rainy,Afternoon,Thursday,0,15805.0
U1001,P102,Clothing,1448,26-35,M,Anxious,Rainy,Afternoon,Sunday,1,12415.0
U1001,P105,Home,2144,36-45,F,Happy,Sunny,Evening,Sunday,1,12830.0
U1001,P104,Clothing,3616,18-25,F,Sad,Windy,Afternoon,Friday,0,12151.0
U1001,P102,Beauty,442,18-25,F,Bored,Cloudy,Morning,Sunday,1,13300.0
U1001,P102,Clothing,4854,46-50,M,Happy,Stormy,Evening,Sunday,1,10594.0
U1001,P102,Home,3840,36-45,F,Anxious,Sunny,Night,Thursday,0,15281.0
U1001,P103,Electronics,4327,36-45,F,Neutral,Sunny,Night,Wednesday,0,17936.0
U1001,P101,Books,871,46-50,M,Sad,Rainy,Afternoon,Tuesday,0,20671.0
U1001,P104,Electronics,293,46-50,F,Anxious,Stormy,Night,Tuesday,0,20094.0
U1001,P103,Clothing,2494,46-50,F,Sad,Rainy,Afternoon,Tuesday,0,18243.0
U1001,P105,Electronics,1892,36-45,F,Sad,Sunny,Afternoon,Monday,0,17121.0
U1001,P101,Books,829,18-25,M,Anxious,Sunny,Afternoon,Saturday,1,18571.0
U1001,P103,Clothing,3551,26-35,F,Sad,Windy,Evening,Wednesday,0,14546.0
U1001,P102,Beauty,4557,26-35,F,Happy,Rainy,Morning,Sunday,1,14257.0
U1001,P102,Home,4797,36-45,M,Anxious,Sunny,Morning,Friday,0,14487.0
U1001,P104,Books,2068,26-35,F,Anxious,Windy,Night,Thursday,0,18413.0
U1001,P105,Home,803,26-35,F,Bored,Sunny,Morning,Saturday,1,20188.0
U1001,P103,Beauty,4513,18-25,M,Anxious,Rainy,Afternoon,Monday,0,18497.0
U1001,P102,Electronics,4748,26-35,F,Bored,Rainy,Morning,Wednesday,0,21118.0
U1001,P105,Books,1912,46-50,F,Anxious,Rainy,Night,Friday,0,25037.0
U1001,P102,Home,2966,26-35,F,Sad,Cloudy,Night,Tuesday,0,23398.0
U1001,P101,Electronics,1456,36-45,F,Anxious,Cloudy,Evening,Wednesday,0,21807.0
U1001,P101,Beauty,3729,18-25,M,Neutral,Sunny,Night,Tuesday,0,18466.0
U1001,P101,Clothing,3728,36-45,M,Anxious,Rainy,Morning,Saturday,1,20127.0
U1001,P101,Home,3411,36-45,M,Neutral,Rainy,Afternoon,Sunday,1,23052.0
U1001,P104,Books,1087,26-35,M,Neutral,Windy,Night,Monday,0,21950.0
U1001,P103,Home,4715,26-35,F,Happy,Sunny,Afternoon,Saturday,1,18289.0
